Espanol,English
tres,three
menos,less
debe,must
tenía,I had
mal,wrong
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,breast
tienen,have
luego,later
todas,all
allí,over there
toda,all
hora,hour
mujer,woman
visto,viewed
haces,you do
importa,It matters
contigo,with you
ve,go
tarde,afternoon
oye,hears
parte,part
haber,to have
hombres,mens
problema,issue
mas,plus
saber,to know
quería,wanted
aún,even
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,made
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,go
quizá,Maybe
debo,I shall
alguna,some
cierto,certain
ud,You
muerto,dead
unos,some
estos,these
salir,leave
policía,policeman
realmente,Really
demasiado,too
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,sweetie
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,watch out
pasó,I pass
buenas,good
somos,are
amor,love
puerta,gate
ves,you see
vaya,wow
ah,ah
suerte,luck
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,well
pasado,past
pensé,I thought
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,form
aqui,here
chico,boy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,within
hice,I did
contra,against
auto,auto
camino,road
ayuda,aid
primera,first
hacia,towards
vi,saw
miedo,fear
adiós,bye
primero,first
debería,should
poder,can
niños,kids
sería,would
historia,history
hey,Hey
mientras,while
ciudad,city
dijiste,said
espero,wait
cuánto,how many
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,must
deja,let
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,crazy
problemas,problems
mano,hand
guerra,war
semana,week
pasar,spend
vale,okay
cuál,which
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,ahead
niño,little boy
listo,clever
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,close
otros,others
sigue,follow
grande,great
arriba,up
jefe,boss
habla,speech
supongo,I guess
manera,way
quieren,They want
feliz,happy
significa,it means
sangre,blood
fin,finish
bajo,bass
llama,call
venir,to come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listen
entrar,get in
ningún,none
corazón,heart
diablos,Devils
necesitamos,need
atrás,behind
durante,during
dices,You say
nuestros,our
persona,person
abajo,down
dr,Dr.
hija,daughter
dejar,let
necesita,needs to
llegar,get
hago,I make
señora,Mrs
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,Earth
cara,expensive
siquiera,even
genial,cool
cree,Believe
supuesto,supposed
tomar,drink
equipo,equipment
justo,just
juego,play
ninguna,none
matar,to kill
cinco,five
dicen,They say
amo,love
cuándo,when
pequeño,little
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nail
muchos,Many
hubiera,had
segundo,second
aunque,though
pueda,I can
dime,tell me
igual,Same
comida,food
ay,Oh
cuerpo,Body
encontrar,find
fuerte,strong
vuelta,lap
venga,come on
creer,believe
realidad,reality
saben,They know
puta,bitch
deberías,you should
pregunta,Question
fui,I was
cuatro,four
sra,Mrs
primer,first
trabajar,to work
e,and
hagas,you do
alto,tall
maldita,damn
comer,to eat
número,number
dar,to give
necesitas,you need
oportunidad,chance
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,to think
fueron,were
difícil,hard
vivir,to live
paso,step
malo,bad
estabas,You were
vivo,live
haga,make
queda,remains
hijos,sons
mayor,elderly
fiesta,party
hacen,make
medio,medium
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,fourth
éste,East
escuela,school
esté,East
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,were
